datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
6/1/2023 4:00:00 AM,6/1/2023 12:00:00 AM,SERC,WEST,EKPC,EKPC,1257.410,True
6/1/2023 5:00:00 AM,6/1/2023 1:00:00 AM,SERC,WEST,EKPC,EKPC,1182.033,True
6/1/2023 6:00:00 AM,6/1/2023 2:00:00 AM,SERC,WEST,EKPC,EKPC,1111.959,True
6/1/2023 7:00:00 AM,6/1/2023 3:00:00 AM,SERC,WEST,EKPC,EKPC,1041.061,True
6/1/2023 8:00:00 AM,6/1/2023 4:00:00 AM,SERC,WEST,EKPC,EKPC,1073.152,True
6/1/2023 9:00:00 AM,6/1/2023 5:00:00 AM,SERC,WEST,EKPC,EKPC,1110.060,True
6/1/2023 10:00:00 AM,6/1/2023 6:00:00 AM,SERC,WEST,EKPC,EKPC,1170.302,True
6/1/2023 11:00:00 AM,6/1/2023 7:00:00 AM,SERC,WEST,EKPC,EKPC,1176.000,True
6/1/2023 12:00:00 PM,6/1/2023 8:00:00 AM,SERC,WEST,EKPC,EKPC,1269.299,True
6/1/2023 1:00:00 PM,6/1/2023 9:00:00 AM,SERC,WEST,EKPC,EKPC,1345.201,True
6/1/2023 2:00:00 PM,6/1/2023 10:00:00 AM,SERC,WEST,EKPC,EKPC,1410.472,True
6/1/2023 3:00:00 PM,6/1/2023 11:00:00 AM,SERC,WEST,EKPC,EKPC,1566.282,True
6/1/2023 4:00:00 PM,6/1/2023 12:00:00 PM,SERC,WEST,EKPC,EKPC,1667.079,True
6/1/2023 5:00:00 PM,6/1/2023 1:00:00 PM,SERC,WEST,EKPC,EKPC,1808.437,True
6/1/2023 6:00:00 PM,6/1/2023 2:00:00 PM,SERC,WEST,EKPC,EKPC,1924.003,True
6/1/2023 7:00:00 PM,6/1/2023 3:00:00 PM,SERC,WEST,EKPC,EKPC,1922.026,True
6/1/2023 8:00:00 PM,6/1/2023 4:00:00 PM,SERC,WEST,EKPC,EKPC,1889.112,True
6/1/2023 9:00:00 PM,6/1/2023 5:00:00 PM,SERC,WEST,EKPC,EKPC,2008.127,True
6/1/2023 10:00:00 PM,6/1/2023 6:00:00 PM,SERC,WEST,EKPC,EKPC,1998.856,True
6/1/2023 11:00:00 PM,6/1/2023 7:00:00 PM,SERC,WEST,EKPC,EKPC,1840.344,True
6/2/2023 12:00:00 AM,6/1/2023 8:00:00 PM,SERC,WEST,EKPC,EKPC,1735.788,True
6/2/2023 1:00:00 AM,6/1/2023 9:00:00 PM,SERC,WEST,EKPC,EKPC,1668.105,True
6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,SERC,WEST,EKPC,EKPC,1553.164,True
6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,SERC,WEST,EKPC,EKPC,1396.651,True
6/2/2023 4:00:00 AM,6/2/2023 12:00:00 AM,SERC,WEST,EKPC,EKPC,1328.130,True
6/2/2023 5:00:00 AM,6/2/2023 1:00:00 AM,SERC,WEST,EKPC,EKPC,1270.835,True
6/2/2023 6:00:00 AM,6/2/2023 2:00:00 AM,SERC,WEST,EKPC,EKPC,1212.987,True
6/2/2023 7:00:00 AM,6/2/2023 3:00:00 AM,SERC,WEST,EKPC,EKPC,1112.884,True
6/2/2023 8:00:00 AM,6/2/2023 4:00:00 AM,SERC,WEST,EKPC,EKPC,1156.295,True
6/2/2023 9:00:00 AM,6/2/2023 5:00:00 AM,SERC,WEST,EKPC,EKPC,1173.936,True
6/2/2023 10:00:00 AM,6/2/2023 6:00:00 AM,SERC,WEST,EKPC,EKPC,1250.828,True
6/2/2023 11:00:00 AM,6/2/2023 7:00:00 AM,SERC,WEST,EKPC,EKPC,1222.791,True
6/2/2023 12:00:00 PM,6/2/2023 8:00:00 AM,SERC,WEST,EKPC,EKPC,1294.849,True
6/2/2023 1:00:00 PM,6/2/2023 9:00:00 AM,SERC,WEST,EKPC,EKPC,1314.322,True
6/2/2023 2:00:00 PM,6/2/2023 10:00:00 AM,SERC,WEST,EKPC,EKPC,1447.220,True
6/2/2023 3:00:00 PM,6/2/2023 11:00:00 AM,SERC,WEST,EKPC,EKPC,1697.872,True
6/2/2023 4:00:00 PM,6/2/2023 12:00:00 PM,SERC,WEST,EKPC,EKPC,1775.729,True
6/2/2023 5:00:00 PM,6/2/2023 1:00:00 PM,SERC,WEST,EKPC,EKPC,1860.021,True
6/2/2023 6:00:00 PM,6/2/2023 2:00:00 PM,SERC,WEST,EKPC,EKPC,1956.627,True
6/2/2023 7:00:00 PM,6/2/2023 3:00:00 PM,SERC,WEST,EKPC,EKPC,1976.426,True
6/2/2023 8:00:00 PM,6/2/2023 4:00:00 PM,SERC,WEST,EKPC,EKPC,2028.887,True
6/2/2023 9:00:00 PM,6/2/2023 5:00:00 PM,SERC,WEST,EKPC,EKPC,2053.837,True
6/2/2023 10:00:00 PM,6/2/2023 6:00:00 PM,SERC,WEST,EKPC,EKPC,2045.450,True
6/2/2023 11:00:00 PM,6/2/2023 7:00:00 PM,SERC,WEST,EKPC,EKPC,1953.607,True
6/3/2023 12:00:00 AM,6/2/2023 8:00:00 PM,SERC,WEST,EKPC,EKPC,1835.260,True
6/3/2023 1:00:00 AM,6/2/2023 9:00:00 PM,SERC,WEST,EKPC,EKPC,1757.350,True
6/3/2023 2:00:00 AM,6/2/2023 10:00:00 PM,SERC,WEST,EKPC,EKPC,1618.826,True
6/3/2023 3:00:00 AM,6/2/2023 11:00:00 PM,SERC,WEST,EKPC,EKPC,1497.250,True
6/3/2023 4:00:00 AM,6/3/2023 12:00:00 AM,SERC,WEST,EKPC,EKPC,1295.067,True
6/3/2023 5:00:00 AM,6/3/2023 1:00:00 AM,SERC,WEST,EKPC,EKPC,1220.099,True
6/3/2023 6:00:00 AM,6/3/2023 2:00:00 AM,SERC,WEST,EKPC,EKPC,1177.805,True
6/3/2023 7:00:00 AM,6/3/2023 3:00:00 AM,SERC,WEST,EKPC,EKPC,1171.274,True
6/3/2023 8:00:00 AM,6/3/2023 4:00:00 AM,SERC,WEST,EKPC,EKPC,1011.299,True
6/3/2023 9:00:00 AM,6/3/2023 5:00:00 AM,SERC,WEST,EKPC,EKPC,1084.024,True
6/3/2023 10:00:00 AM,6/3/2023 6:00:00 AM,SERC,WEST,EKPC,EKPC,1094.483,True
6/3/2023 11:00:00 AM,6/3/2023 7:00:00 AM,SERC,WEST,EKPC,EKPC,1108.200,True
6/3/2023 12:00:00 PM,6/3/2023 8:00:00 AM,SERC,WEST,EKPC,EKPC,1168.714,True
6/3/2023 1:00:00 PM,6/3/2023 9:00:00 AM,SERC,WEST,EKPC,EKPC,1290.412,True
6/3/2023 2:00:00 PM,6/3/2023 10:00:00 AM,SERC,WEST,EKPC,EKPC,1490.075,True
6/3/2023 3:00:00 PM,6/3/2023 11:00:00 AM,SERC,WEST,EKPC,EKPC,1552.157,True
6/3/2023 4:00:00 PM,6/3/2023 12:00:00 PM,SERC,WEST,EKPC,EKPC,1737.811,True
6/3/2023 5:00:00 PM,6/3/2023 1:00:00 PM,SERC,WEST,EKPC,EKPC,1899.122,True
6/3/2023 6:00:00 PM,6/3/2023 2:00:00 PM,SERC,WEST,EKPC,EKPC,1954.570,True
6/3/2023 7:00:00 PM,6/3/2023 3:00:00 PM,SERC,WEST,EKPC,EKPC,2033.243,True
6/3/2023 8:00:00 PM,6/3/2023 4:00:00 PM,SERC,WEST,EKPC,EKPC,2014.337,True
6/3/2023 9:00:00 PM,6/3/2023 5:00:00 PM,SERC,WEST,EKPC,EKPC,2036.056,True
6/3/2023 10:00:00 PM,6/3/2023 6:00:00 PM,SERC,WEST,EKPC,EKPC,2018.969,True
