datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,SERC,WEST,EKPC,EKPC,1229.519,True
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,SERC,WEST,EKPC,EKPC,1137.919,True
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,SERC,WEST,EKPC,EKPC,1051.113,True
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,SERC,WEST,EKPC,EKPC,1021.824,True
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,SERC,WEST,EKPC,EKPC,909.604,True
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,SERC,WEST,EKPC,EKPC,1002.077,True
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,SERC,WEST,EKPC,EKPC,1002.032,True
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,SERC,WEST,EKPC,EKPC,1034.035,True
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,SERC,WEST,EKPC,EKPC,1194.028,True
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,SERC,WEST,EKPC,EKPC,1247.773,True
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,SERC,WEST,EKPC,EKPC,1280.691,True
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,SERC,WEST,EKPC,EKPC,1161.566,True
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,SERC,WEST,EKPC,EKPC,1183.844,True
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,SERC,WEST,EKPC,EKPC,1269.534,True
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,SERC,WEST,EKPC,EKPC,1261.446,True
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,SERC,WEST,EKPC,EKPC,1339.042,True
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,SERC,WEST,EKPC,EKPC,1389.916,True
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,SERC,WEST,EKPC,EKPC,1483.911,True
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,SERC,WEST,EKPC,EKPC,1599.553,True
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,SERC,WEST,EKPC,EKPC,1564.595,True
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,SERC,WEST,EKPC,EKPC,1517.862,True
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,SERC,WEST,EKPC,EKPC,1491.511,True
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,SERC,WEST,EKPC,EKPC,1291.736,True
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,SERC,WEST,EKPC,EKPC,1266.921,True
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,SERC,WEST,EKPC,EKPC,1142.800,True
6/2/2025 5:00:00 AM,6/2/2025 1:00:00 AM,SERC,WEST,EKPC,EKPC,1136.558,True
6/2/2025 6:00:00 AM,6/2/2025 2:00:00 AM,SERC,WEST,EKPC,EKPC,1111.796,True
6/2/2025 7:00:00 AM,6/2/2025 3:00:00 AM,SERC,WEST,EKPC,EKPC,1129.661,True
6/2/2025 8:00:00 AM,6/2/2025 4:00:00 AM,SERC,WEST,EKPC,EKPC,1119.618,True
6/2/2025 9:00:00 AM,6/2/2025 5:00:00 AM,SERC,WEST,EKPC,EKPC,1168.472,True
6/2/2025 10:00:00 AM,6/2/2025 6:00:00 AM,SERC,WEST,EKPC,EKPC,1303.104,True
6/2/2025 11:00:00 AM,6/2/2025 7:00:00 AM,SERC,WEST,EKPC,EKPC,1356.393,True
6/2/2025 12:00:00 PM,6/2/2025 8:00:00 AM,SERC,WEST,EKPC,EKPC,1361.979,True
6/2/2025 1:00:00 PM,6/2/2025 9:00:00 AM,SERC,WEST,EKPC,EKPC,1363.111,True
6/2/2025 2:00:00 PM,6/2/2025 10:00:00 AM,SERC,WEST,EKPC,EKPC,1411.003,True
6/2/2025 3:00:00 PM,6/2/2025 11:00:00 AM,SERC,WEST,EKPC,EKPC,1411.015,True
6/2/2025 4:00:00 PM,6/2/2025 12:00:00 PM,SERC,WEST,EKPC,EKPC,1443.249,True
6/2/2025 5:00:00 PM,6/2/2025 1:00:00 PM,SERC,WEST,EKPC,EKPC,1545.946,True
6/2/2025 6:00:00 PM,6/2/2025 2:00:00 PM,SERC,WEST,EKPC,EKPC,1587.702,True
6/2/2025 7:00:00 PM,6/2/2025 3:00:00 PM,SERC,WEST,EKPC,EKPC,1606.964,True
6/2/2025 8:00:00 PM,6/2/2025 4:00:00 PM,SERC,WEST,EKPC,EKPC,1710.197,True
6/2/2025 9:00:00 PM,6/2/2025 5:00:00 PM,SERC,WEST,EKPC,EKPC,1672.524,True
6/2/2025 10:00:00 PM,6/2/2025 6:00:00 PM,SERC,WEST,EKPC,EKPC,1783.515,True
6/2/2025 11:00:00 PM,6/2/2025 7:00:00 PM,SERC,WEST,EKPC,EKPC,1788.714,True
6/3/2025 12:00:00 AM,6/2/2025 8:00:00 PM,SERC,WEST,EKPC,EKPC,1731.158,True
6/3/2025 1:00:00 AM,6/2/2025 9:00:00 PM,SERC,WEST,EKPC,EKPC,1710.036,True
6/3/2025 2:00:00 AM,6/2/2025 10:00:00 PM,SERC,WEST,EKPC,EKPC,1560.063,True
6/3/2025 3:00:00 AM,6/2/2025 11:00:00 PM,SERC,WEST,EKPC,EKPC,1390.023,True
6/3/2025 4:00:00 AM,6/3/2025 12:00:00 AM,SERC,WEST,EKPC,EKPC,1293.380,True
6/3/2025 5:00:00 AM,6/3/2025 1:00:00 AM,SERC,WEST,EKPC,EKPC,1251.255,True
6/3/2025 6:00:00 AM,6/3/2025 2:00:00 AM,SERC,WEST,EKPC,EKPC,1146.168,True
6/3/2025 7:00:00 AM,6/3/2025 3:00:00 AM,SERC,WEST,EKPC,EKPC,1025.405,True
6/3/2025 8:00:00 AM,6/3/2025 4:00:00 AM,SERC,WEST,EKPC,EKPC,995.523,True
6/3/2025 9:00:00 AM,6/3/2025 5:00:00 AM,SERC,WEST,EKPC,EKPC,1044.652,True
6/3/2025 10:00:00 AM,6/3/2025 6:00:00 AM,SERC,WEST,EKPC,EKPC,1121.944,True
6/3/2025 11:00:00 AM,6/3/2025 7:00:00 AM,SERC,WEST,EKPC,EKPC,1174.375,True
6/3/2025 12:00:00 PM,6/3/2025 8:00:00 AM,SERC,WEST,EKPC,EKPC,1213.516,True
6/3/2025 1:00:00 PM,6/3/2025 9:00:00 AM,SERC,WEST,EKPC,EKPC,1247.707,True
6/3/2025 2:00:00 PM,6/3/2025 10:00:00 AM,SERC,WEST,EKPC,EKPC,1357.231,True
6/3/2025 3:00:00 PM,6/3/2025 11:00:00 AM,SERC,WEST,EKPC,EKPC,1515.934,True
6/3/2025 4:00:00 PM,6/3/2025 12:00:00 PM,SERC,WEST,EKPC,EKPC,1546.590,True
6/3/2025 5:00:00 PM,6/3/2025 1:00:00 PM,SERC,WEST,EKPC,EKPC,1666.055,True
6/3/2025 6:00:00 PM,6/3/2025 2:00:00 PM,SERC,WEST,EKPC,EKPC,1881.584,True
6/3/2025 7:00:00 PM,6/3/2025 3:00:00 PM,SERC,WEST,EKPC,EKPC,1967.473,True
6/3/2025 8:00:00 PM,6/3/2025 4:00:00 PM,SERC,WEST,EKPC,EKPC,2051.860,True
6/3/2025 9:00:00 PM,6/3/2025 5:00:00 PM,SERC,WEST,EKPC,EKPC,2085.217,True
6/3/2025 10:00:00 PM,6/3/2025 6:00:00 PM,SERC,WEST,EKPC,EKPC,2027.141,True
6/3/2025 11:00:00 PM,6/3/2025 7:00:00 PM,SERC,WEST,EKPC,EKPC,1930.736,True
6/4/2025 12:00:00 AM,6/3/2025 8:00:00 PM,SERC,WEST,EKPC,EKPC,1891.869,True
6/4/2025 1:00:00 AM,6/3/2025 9:00:00 PM,SERC,WEST,EKPC,EKPC,1889.961,True
6/4/2025 2:00:00 AM,6/3/2025 10:00:00 PM,SERC,WEST,EKPC,EKPC,1704.502,True
6/4/2025 3:00:00 AM,6/3/2025 11:00:00 PM,SERC,WEST,EKPC,EKPC,1516.688,True
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,SERC,WEST,EKPC,EKPC,1299.022,True
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,SERC,WEST,EKPC,EKPC,1285.214,True
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,SERC,WEST,EKPC,EKPC,1237.958,True
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,SERC,WEST,EKPC,EKPC,1197.163,True
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,SERC,WEST,EKPC,EKPC,1190.640,True
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,SERC,WEST,EKPC,EKPC,1228.066,True
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,SERC,WEST,EKPC,EKPC,1286.499,True
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,SERC,WEST,EKPC,EKPC,1346.592,True
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,SERC,WEST,EKPC,EKPC,1401.317,True
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,SERC,WEST,EKPC,EKPC,1503.915,True
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,SERC,WEST,EKPC,EKPC,1627.503,True
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,SERC,WEST,EKPC,EKPC,1735.478,True
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,SERC,WEST,EKPC,EKPC,1846.357,True
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,SERC,WEST,EKPC,EKPC,1927.759,True
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,SERC,WEST,EKPC,EKPC,2016.049,True
