datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
4/1/2026 4:00:00 AM,4/1/2026 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3320.797,True
4/1/2026 4:00:00 AM,4/1/2026 12:00:00 AM,RFC,WEST,AEP,AEPIMP,3152.668,True
4/1/2026 4:00:00 AM,4/1/2026 12:00:00 AM,RFC,WEST,AEP,AEPKPT,502.939,True
4/1/2026 4:00:00 AM,4/1/2026 12:00:00 AM,RFC,WEST,AEP,AEPOPT,7275.961,True
4/1/2026 5:00:00 AM,4/1/2026 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3200.608,True
4/1/2026 5:00:00 AM,4/1/2026 1:00:00 AM,RFC,WEST,AEP,AEPIMP,3116.176,True
4/1/2026 5:00:00 AM,4/1/2026 1:00:00 AM,RFC,WEST,AEP,AEPKPT,479.590,True
4/1/2026 5:00:00 AM,4/1/2026 1:00:00 AM,RFC,WEST,AEP,AEPOPT,7145.777,True
4/1/2026 6:00:00 AM,4/1/2026 2:00:00 AM,RFC,WEST,AEP,AEPAPT,3109.528,True
4/1/2026 6:00:00 AM,4/1/2026 2:00:00 AM,RFC,WEST,AEP,AEPIMP,3121.091,True
4/1/2026 6:00:00 AM,4/1/2026 2:00:00 AM,RFC,WEST,AEP,AEPKPT,470.761,True
4/1/2026 6:00:00 AM,4/1/2026 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6948.792,True
4/1/2026 7:00:00 AM,4/1/2026 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3064.245,True
4/1/2026 7:00:00 AM,4/1/2026 3:00:00 AM,RFC,WEST,AEP,AEPIMP,3106.229,True
4/1/2026 7:00:00 AM,4/1/2026 3:00:00 AM,RFC,WEST,AEP,AEPKPT,461.293,True
4/1/2026 7:00:00 AM,4/1/2026 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6919.234,True
4/1/2026 8:00:00 AM,4/1/2026 4:00:00 AM,RFC,WEST,AEP,AEPAPT,3099.222,True
4/1/2026 8:00:00 AM,4/1/2026 4:00:00 AM,RFC,WEST,AEP,AEPIMP,3125.501,True
4/1/2026 8:00:00 AM,4/1/2026 4:00:00 AM,RFC,WEST,AEP,AEPKPT,464.249,True
4/1/2026 8:00:00 AM,4/1/2026 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6916.779,True
4/1/2026 9:00:00 AM,4/1/2026 5:00:00 AM,RFC,WEST,AEP,AEPAPT,3257.150,True
4/1/2026 9:00:00 AM,4/1/2026 5:00:00 AM,RFC,WEST,AEP,AEPIMP,3254.656,True
