model,hour,mean_abs_error,mean_error,rmse
Persistence,16,234.05457727272727,-5.2634045454545495,390.44470681547557
Persistence,17,226.4680727272727,-6.625209090909086,381.0494789606487
Persistence,18,214.2962681818182,-6.420368181818182,367.2705593085603
Persistence,19,205.99991363636366,-5.696259090909096,345.83436545078916
Persistence,20,187.60029090909092,-2.3016000000000045,307.6673659198282
Persistence,21,172.4447818181818,-2.6638090909090932,275.48407449596783
Persistence,22,148.9619045454546,-0.6665227272727303,234.4717988454921
Persistence,23,141.05222272727272,1.6054227272727293,216.74315003693158
Persistence,0,130.2365648148148,6.315398148148147,198.4242543006487
Persistence,1,133.75816666666665,7.366175925925931,198.23529263158835
Persistence,2,134.4997962962963,7.619990740740741,200.2829465043004
Persistence,3,136.41712037037036,9.07661111111111,203.67412534746666
Persistence,4,148.53549999999998,10.91001851851852,222.07234006518638
Persistence,5,181.41190740740743,13.632648148148144,270.68119478275275
Persistence,6,228.0098564814815,19.296902777777774,346.6612773485533
Persistence,7,238.91030555555554,21.01876851851851,365.8238832611008
Persistence,8,212.41537037037037,19.09475925925926,330.51994365704405
Persistence,9,189.35006944444447,15.80135648148149,301.15092990058344
Persistence,10,196.20798148148148,13.12688888888889,312.6902104089634
Persistence,11,201.06838425925923,9.904236111111118,316.8897737375712
Persistence,12,211.01864814814812,7.169055555555558,334.08365837269736
Persistence,13,223.1324953703704,4.475134259259259,364.66369909364715
Persistence,14,236.4241527777778,0.8150231481481506,386.3041591685272
Persistence,15,233.34493518518522,-2.8126388888888836,392.5263008543008
OLS,16,235.22407462040982,91.36789456470453,364.97181648519074
OLS,17,234.19721255070883,90.12033675949775,360.5006655982547
OLS,18,227.8675029659648,88.95792070648952,351.8205008956879
OLS,19,219.57364992777403,90.67300359571004,331.47974710271467
OLS,20,198.26061979252532,96.58672047361085,294.63884763112327
OLS,21,184.8814627232427,93.50808190126969,265.29013086383753
OLS,22,166.21976490395915,90.50512357438984,228.09537673015544
OLS,23,166.44931077857828,97.3527822491541,220.1540415393199
OLS,0,163.6107713010945,93.90763985260158,221.4967856767716
OLS,1,169.00109540814586,101.44766128615,223.75637019865258
OLS,2,170.95501807532366,105.08719645048333,226.88282351393545
OLS,3,172.40368922770213,109.01365513855355,227.7753441365556
OLS,4,178.3583608267502,113.17284304060232,235.12490092328846
OLS,5,201.06179532111295,118.11907703086997,262.7292848952389
OLS,6,234.885497401955,123.88425949621066,314.29896916063245
OLS,7,240.0612261294858,117.32764043426948,324.6749263400192
OLS,8,216.56465582700517,109.46370513069233,290.8793715205044
OLS,9,193.22467050831517,104.38939261486776,260.4901958302634
OLS,10,193.97948463368138,102.40839800605278,268.3437735366823
OLS,11,195.332104909048,99.55908076404592,273.81975810095975
OLS,12,207.09549573597832,98.5577934355929,291.57263462090714
OLS,13,223.2408034828529,96.67672664718299,323.7045001329831
OLS,14,232.78012044357268,92.7415700091511,348.245376393889
OLS,15,231.58592784931966,90.4617614320829,359.13944676179375
Ridge,16,235.2234238889497,91.3591113055145,364.9736025945509
Ridge,17,234.19441048875586,90.10664236536623,360.5012576327721
Ridge,18,227.86397637699926,88.94517139299603,351.8208156763509
Ridge,19,219.56773554468035,90.65776584614754,331.47866088147344
Ridge,20,198.25291426872354,96.56502803958502,294.6344941292952
Ridge,21,184.8732372729359,93.493047363529,265.2874371709681
Ridge,22,166.22076692814372,90.51082720409728,228.10141829456555
Ridge,23,166.45110780619217,97.35988028960989,220.15774926312375
Ridge,0,163.61392322170576,93.91664791342181,221.50163633227513
Ridge,1,169.00030982651987,101.44801754163738,223.75510491308822
Ridge,2,170.95379235633712,105.08460199917603,226.88061785479735
Ridge,3,172.40215463953885,109.00803039132437,227.77220658635838
Ridge,4,178.35492013131827,113.16228969813282,235.1187843260576
Ridge,5,201.0529167414339,118.10069251703277,262.7176538406536
Ridge,6,234.8733368255975,123.85876237489273,314.28504987177473
Ridge,7,240.05768200788847,117.3171348410113,324.6701390892112
Ridge,8,216.56838998905914,109.46767687885898,290.8828235341935
Ridge,9,193.2308380680985,104.40049428248052,260.4977403892064
Ridge,10,193.98540179373634,102.42003103660782,268.34948990359624
Ridge,11,195.3396405688244,99.57159507411876,273.8258899250912
Ridge,12,207.1010974679912,98.56688033181175,291.5786862459279
Ridge,13,223.24585229161897,96.68253097620521,323.70838073800286
Ridge,14,232.78377896939273,92.74676104854656,348.2492314226688
Ridge,15,231.58885709139832,90.46191816402273,359.1434484726595
Lasso,16,235.2174618339055,91.33714082879698,364.9707004711267
Lasso,17,234.18630222926393,90.0809250737035,360.49677963914115
Lasso,18,227.85382278170465,88.91971899128788,351.8153682236629
Lasso,19,219.55585897677847,90.63016980383266,331.4713758703853
Lasso,20,198.2391562762893,96.53263555426294,294.6236653388367
Lasso,21,184.85780565961187,93.46501176974363,265.27694081125094
Lasso,22,166.21114272371494,90.49662435076071,228.09594649703786
Lasso,23,166.4413770082117,97.34604825701122,220.14957797165277
Lasso,0,163.60989609251476,93.90800713014748,221.49684865416717
Lasso,1,168.99223441031555,101.4332243350106,223.74584637564973
Lasso,2,170.94530689097084,105.0677601295932,226.87027197390145
Lasso,3,172.39361584069704,108.98923970305428,227.76085907720588
Lasso,4,178.3453933637377,113.14036069336255,235.10562246245345
Lasso,5,201.04142021394384,118.07377765681368,262.7025491601214
Lasso,6,234.86024112510495,123.82753960997421,314.2705950435915
Lasso,7,240.05150709688405,117.29674313698727,324.662991060847
Lasso,8,216.56690340192694,109.45740851250886,290.88096491346073
Lasso,9,193.23068619032233,104.39504065530573,260.49848889822096
Lasso,10,193.9852837685801,102.41474094540801,268.3498857489175
Lasso,11,195.34124550200008,99.56661860544207,273.82701815894524
Lasso,12,207.10108655041986,98.55918292736149,291.5798751742266
Lasso,13,223.24422905853916,96.67221398184853,323.70831203080013
Lasso,14,232.78097065220138,92.73559870740074,348.2490111423073
Lasso,15,231.58567680037672,90.44680644915968,359.14309847416285
